sale_id,sale_date,region,product,customer_id,units_sold,revenue
1,2025-03-22,Middle East,Product B,C0888,261,30389.15
2,2024-12-29,Africa,Product B,C0131,337,107899.47
3,2025-03-27,Asia-Pacific,Product A,C0377,367,116618.05
4,2025-04-21,Middle East,Product B,C0024,443,160008.85
5,2024-07-06,Africa,Product E,C0980,453,165294.95
6,2024-10-06,North America,Product B,C0869,161,36262.25
7,2025-06-09,Asia-Pacific,Product D,C0799,244,74303.21
8,2025-06-02,South America,Product E,C0546,410,89798.6
9,2025-01-10,South America,Product D,C0899,354,158690.56
10,2025-04-17,Europe,Product C,C0983,99,11149.89
11,2024-07-16,North America,Product A,C0962,22,6308.96
12,2025-03-02,Asia-Pacific,Product A,C0384,395,177698.53
13,2024-08-08,Europe,Product E,C0469,296,100223.15
14,2025-06-27,Middle East,Product D,C0011,438,128935.57
15,2024-07-09,South America,Product E,C0469,460,187004.86
16,2024-10-12,South America,Product A,C0166,426,101988.52
17,2025-04-20,South America,Product B,C0665,416,192492.42
18,2024-09-14,Africa,Product A,C0365,469,113419.37
19,2025-05-07,Africa,Product C,C0216,490,150421.59
20,2024-12-07,Europe,Product A,C0218,158,66067.9
21,2025-03-12,Asia-Pacific,Product C,C0820,36,2293.12
22,2024-08-04,Europe,Product C,C0611,156,77201.85
23,2025-03-06,Africa,Product D,C0734,141,14396.37
24,2025-06-10,Africa,Product D,C0443,214,85585.07
25,2024-10-07,Middle East,Product B,C0946,494,51893.96
26,2024-08-03,Middle East,Product E,C0205,173,61542.66
27,2025-04-30,Asia-Pacific,Product A,C0296,335,120535.34
28,2025-05-19,Asia-Pacific,Product E,C0500,447,114458.09
29,2025-04-15,Middle East,Product C,C0692,338,107116.99
30,2025-05-17,North America,Product A,C0514,487,150343.39
31,2024-10-24,Africa,Product E,C0102,66,16726.33
32,2025-06-18,Europe,Product E,C0643,429,29412.98
33,2024-08-02,Asia-Pacific,Product E,C0854,286,72795.87
34,2024-07-15,Africa,Product D,C0047,165,38781.52
35,2024-10-28,Europe,Product B,C0279,113,36547.98
36,2024-07-18,Asia-Pacific,Product D,C0724,55,7677.59
37,2024-10-08,Middle East,Product D,C0216,201,11203.68
38,2025-01-06,Africa,Product B,C0190,212,19715.7
39,2024-11-20,Middle East,Product C,C0838,333,128326.53
40,2025-04-14,Africa,Product B,C0420,104,25894.13
41,2025-06-14,Middle East,Product D,C0250,77,13711.14
42,2024-08-17,Asia-Pacific,Product B,C0844,399,154967.01
43,2025-05-25,South America,Product B,C0760,454,208703.78
44,2024-08-28,Middle East,Product D,C0082,51,6432.28
45,2025-05-04,Asia-Pacific,Product E,C0420,28,10968.01
46,2024-07-10,Asia-Pacific,Product D,C0845,182,19764.46
47,2025-05-06,Middle East,Product C,C0276,211,98056.89
48,2024-07-16,Middle East,Product A,C0634,173,76613.94
49,2025-06-18,North America,Product D,C0605,383,146587.69
50,2025-05-14,Africa,Product D,C0049,412,181580.38
51,2025-03-21,Africa,Product E,C0779,319,40639.88
52,2024-08-27,Asia-Pacific,Product C,C0567,335,112357.29
53,2024-09-04,Africa,Product D,C0560,240,117686.46
54,2024-10-28,Africa,Product A,C0097,455,217575.05
55,2024-11-27,Asia-Pacific,Product B,C0031,224,107010.54
56,2024-09-18,South America,Product C,C0737,447,78294.87
57,2024-12-22,Africa,Product E,C0542,283,87867.68
58,2024-10-17,Asia-Pacific,Product C,C0801,211,20123.01
59,2025-07-03,South America,Product B,C0154,191,20764.66
60,2025-04-23,Europe,Product A,C1000,387,135842.33
61,2024-11-11,Africa,Product B,C0920,114,24571.37
62,2025-06-29,Asia-Pacific,Product E,C0519,334,42271.45
63,2025-05-30,South America,Product B,C0535,85,27965.54
64,2024-12-25,Asia-Pacific,Product E,C0559,338,66420.25
65,2025-05-22,North America,Product E,C0115,395,100573.86
66,2025-07-03,South America,Product D,C0899,454,86010.54
67,2024-09-07,South America,Product C,C0955,72,15726.62
68,2024-08-17,North America,Product E,C0323,486,192789.53
